,Postcode,Borough,Neighbourhood,Latitude,Longitude
0,M1B,Scarborough,"Rouge, Malvern",43.686504,-79.279742
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7871,-79.157666
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.763592,-79.162531
3,M1G,Scarborough,Woburn,43.7709921,-79.2169174
4,M1H,Scarborough,Cedarbrae,43.770175,-79.239475
5,M1J,Scarborough,Scarborough Village,43.740651,-79.239109
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.2620294
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.713967,-79.281622
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.724713,-79.228194
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.752927,-79.265512
11,M1R,Scarborough,"Maryvale, Wexford",43.745747,-79.295025
12,M1S,Scarborough,Agincourt,43.792389,-79.285919
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.784,-79.304299
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.812742,-79.245273
15,M1W,Scarborough,"L'Amoreaux West, Steeles West",43.800983,-79.319534
16,M1X,Scarborough,Upper Rouge,43.815793,-79.238456
17,M2H,North York,Hillcrest Village,43.798876,-79.343884
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
19,M2K,North York,Bayview Village,43.764659,-79.396909
20,M2L,North York,"Silver Hills, York Mills",43.745291,-79.387429
21,M2M,North York,"Newtonbrook, Willowdale",43.787119,-79.417183
22,M2N,North York,Willowdale South,43.767901,-79.412638
23,M2P,North York,York Mills West,43.745925,-79.394131
24,M2R,North York,Willowdale West,43.766304,-79.426222
25,M3A,North York,Parkwoods,43.754045,-79.335286
26,M3B,North York,Don Mills North,43.74959,-79.357816
27,M3C,North York,"Flemingdon Park, Don Mills South",43.731031,-79.341722
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.787236,-79.469852
29,M3J,North York,"Northwood Park, York University",43.765606,-79.493584
30,M3K,North York,"CFB Toronto, Downsview East",43.7513,-79.46851
31,M3L,North York,Downsview West,43.732423,-79.511862
32,M3M,North York,Downsview Central,43.72172098,-79.49315286
33,M3N,North York,Downsview Northwest,43.776077,-79.500711
34,M4A,North York,Victoria Village,43.71897,-79.304501
35,M4B,East York,"Woodbine Gardens, Parkview Hill",43.707331,-79.311655
36,M4C,East York,Woodbine Heights,43.679896,-79.32196
37,M4E,East Toronto,The Beaches,43.667569,-79.295457
38,M4G,East York,Leaside,43.678684,-79.498094
39,M4H,East York,Thorncliffe Park,43.701782,-79.357767
40,M4J,East York,East Toronto,43.67129266,-79.34161954
41,M4K,East Toronto,"The Danforth West, Riverdale",43.666219,-79.352763
42,M4L,East Toronto,"The Beaches West, India Bazaar",43.723057,-79.392486
43,M4M,East Toronto,Studio District,43.648741,-79.341395
44,M4N,Central Toronto,Lawrence Park,43.717565,-79.385644
45,M4P,Central Toronto,Davisville North,43.657486,-79.362701
46,M4R,Central Toronto,North Toronto West,43.70663337,-79.39891239
47,M4S,Central Toronto,Davisville,43.697022,-79.392293
48,M4T,Central Toronto,"Moore Park, Summerhill East",43.682291,-79.39002
49,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.67591,-79.407284
50,M4W,Downtown Toronto,Rosedale,43.67213,-79.37857155
51,M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.664547,-79.370725
52,M4Y,Downtown Toronto,Church and Wellesley,43.657486,-79.362701
53,M5A,Downtown Toronto,"Harbourfront, Regent Park",43.638556,-79.347475
54,M5B,Downtown Toronto,"Ryerson, Garden District",43.654252,-79.379609
55,M5C,Downtown Toronto,St. James Town,43.687024,-79.531805
56,M5E,Downtown Toronto,Berczy Park,43.650341,-79.371699
57,M5G,Downtown Toronto,Central Bay Street,43.645495,-79.383101
58,M5H,Downtown Toronto,"Adelaide, King, Richmond",43.649167,-79.377989
59,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.640468,-79.388795
60,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.64922,-79.382302
61,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.649244,-79.382302
62,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
63,M5N,Central Toronto,Roselawn,43.709953,-79.41735
64,M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.698054,-79.398694
65,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.67049,-79.390101
66,M5S,Downtown Toronto,"Harbord, University of Toronto",43.666207,-79.39846
67,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.653338,-79.397234
68,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.645443,-79.388442
69,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.650207,-79.375437
70,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.649318,-79.382302
71,M6A,North York,"Lawrence Heights, Lawrence Manor",43.724054,-79.450696
72,M6B,North York,Glencairn,43.705963,-79.428199
73,M6C,York,Humewood-Cedarvale,43.682785,-79.419987
74,M6E,York,Caledonia-Fairbanks,43.679419,-79.436418
75,M6G,Downtown Toronto,Christie,43.656315,-79.408417
76,M6H,West Toronto,"Dovercourt Village, Dufferin",43.65403,-79.4244795
77,M6J,West Toronto,"Little Portugal, Trinity",43.643815,-79.406696
78,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.640732,-79.41473
79,M6L,North York,"Maple Leaf Park, North Park, Upwood Park",43.710671,-79.477865
80,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.68575,-79.48238
81,M6N,York,"The Junction North, Runnymede",43.6731853,-79.4872619
82,M6P,West Toronto,"High Park, The Junction South",43.655819,-79.466216
83,M6R,West Toronto,"Parkdale, Roncesvalles",43.640282,-79.437378
84,M6S,West Toronto,"Runnymede, Swansea",43.635732,-79.467111
85,M7A,Queen's Park,Queen's Park,43.660745,-79.390285
86,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.780589,-79.250516
87,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.60574,-79.511461
88,M8W,Etobicoke,"Alderwood, Long Branch",43.590952,-79.521384
89,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.659291,-79.50981
90,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.621363,-79.484459
91,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.635435,-79.5277115
92,M9A,Etobicoke,Islington Avenue,43.644121,-79.529649
93,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.640068,-79.534837
94,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.640353,-79.574384
95,M9L,North York,Humber Summit,43.758258,-79.544834
96,M9M,North York,"Emery, Humberlea",43.750964,-79.547673
97,M9N,York,Weston,43.70373312,-79.52609967
98,M9P,Etobicoke,Westmount,43.682304,-79.526542
99,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.705143,-79.550809
100,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.741141,-79.589232
101,M9W,Etobicoke,Northwest,43.692253,-79.584683
